epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,9457.97,0.71703,0.57176,0.99651,0.95059,0.92652,0.96873,0.83713,0.60239,0.36195,0.90325,0.005545,0.005545,0.005545
47,9663.33,0.71518,0.56468,0.99487,0.94436,0.94025,0.96619,0.83376,0.60187,0.35837,0.90267,0.005446,0.005446,0.005446
48,9868.32,0.71439,0.56335,0.99547,0.95471,0.93235,0.97075,0.83763,0.60073,0.3619,0.90254,0.005347,0.005347,0.005347
49,10073.5,0.71088,0.55677,0.99351,0.95196,0.932,0.96963,0.83761,0.59915,0.35359,0.89934,0.005248,0.005248,0.005248
50,10278.6,0.7055,0.54839,0.9936,0.94937,0.93005,0.97009,0.83931,0.59706,0.35255,0.8995,0.005149,0.005149,0.005149
51,10483.9,0.70254,0.5458,0.99063,0.94665,0.94625,0.97145,0.83608,0.59541,0.35734,0.90081,0.00505,0.00505,0.00505
52,10689.3,0.70423,0.54479,0.99363,0.95897,0.93554,0.97025,0.84006,0.59412,0.3465,0.90035,0.004951,0.004951,0.004951
53,10894.5,0.69641,0.54159,0.98829,0.955,0.93827,0.9715,0.83911,0.59826,0.34442,0.90098,0.004852,0.004852,0.004852
54,11099.6,0.69606,0.53063,0.98755,0.95913,0.93487,0.96827,0.83525,0.59789,0.34566,0.89741,0.004753,0.004753,0.004753
55,11304.5,0.68998,0.5259,0.98317,0.95439,0.9406,0.97191,0.84032,0.59338,0.34297,0.89682,0.004654,0.004654,0.004654
56,11509.5,0.68506,0.51307,0.98362,0.94079,0.93985,0.96922,0.84176,0.59082,0.34295,0.89642,0.004555,0.004555,0.004555
57,11714.5,0.68317,0.5163,0.98214,0.96062,0.93947,0.97051,0.84694,0.58442,0.32965,0.89192,0.004456,0.004456,0.004456
